email,label
"From: noreply@outlook.com
Subject: Your verification code
Use security code 877572 to finish signing in on your new device.",Prioritize
"From: verification@paypal.com
Subject: Verification required
Use 809570 to access your account securely. If you didn't request this, ignore this email.",Prioritize
"From: noreply@twitter.com
Subject: Your verification code
Use security code 131244 to finish signing in on your new device.",Prioritize
"From: security@venmo.com
Subject: 2-step verification code
Your one-time verification code is 127824. It will expire shortly.",Prioritize
"From: noreply@twitter.com
Subject: Sign-in attempt detected
Your verification code is 571029. Enter this code to continue signing in.",Prioritize
"From: no-reply@amazon.com
Subject: Confirm your account access
Use security code 456778 to finish signing in on your new device.",Prioritize
"From: no-reply@netflix.com
Subject: Verification required
Use 197251 to verify your identity and complete your sign-in. This link expires at 2025-10-23 20:22 UTC.",Prioritize
"From: alert@wellsfargo.com
Subject: 2-step verification code
Your one-time verification code is 377370. It will expire shortly.",Prioritize
"From: noreply@outlook.com
Subject: Confirm your account access
Use 182627 to access your account securely. If you didn't request this, ignore this email.",Prioritize
"From: alert@wellsfargo.com
Subject: 2-step verification code
Your verification code is 301629. Enter this code to continue signing in.",Prioritize
"From: verification@microsoft.com
Subject: Security alert: new login
Security code: 183667. You received this because of a recent login attempt.",Prioritize
"From: no-reply@facebookmail.com
Subject: Use this code to continue
Use 766563 to verify your identity and complete your sign-in. This link expires at 2025-10-23 20:22 UTC.",Prioritize
"From: alert@wellsfargo.com
Subject: Sign-in attempt detected
Use 802729 to access your account securely. If you didn't request this, ignore this email.",Prioritize
"From: no-reply@amazon.com
Subject: Identity verification code
Enter 864544 on the verification page to confirm it’s you.",Prioritize
"From: support@dropbox.com
Subject: Security alert: new login
Use 771088 to verify your identity and complete your sign-in. This link expires at 2025-10-23 20:27 UTC.",Prioritize
"From: no-reply@chase.com
Subject: Sign-in attempt detected
Security code: 961722. You received this because of a recent login attempt.",Prioritize
"From: no-reply@facebookmail.com
Subject: Verification required
Use security code 321231 to finish signing in on your new device.",Prioritize
"From: no-reply@instagram.com
Subject: Confirm your account access
Here’s your verification code: 774079. Keep this code private and do not share it.",Prioritize
"From: verification@paypal.com
Subject: Sign-in attempt detected
Use 881177 to access your account securely. If you didn't request this, ignore this email.",Prioritize
"From: noreply@twitter.com
Subject: 2-step verification code
Enter 518801 to confirm your login attempt from Chrome on Android. If this wasn’t you, please secure your account.",Prioritize
