email,label
"From: deals@bestbuy.com
Subject: Limited supply — 10% off while supplies last!
Spring into savings with 10% off select products.",Slow
"From: no-reply@airbnb.com
Subject: Special savings inside: 25% off everything!
Shop our newest collection with 25% off today.",Slow
"From: deals@bestbuy.com
Subject: Hot deal: 15% off just for you!
Your favorites are discounted! 15% off for a short time.",Slow
"From: promotions@nike.com
Subject: Don’t miss our 10% off sale this weekend!
Don’t wait! 10% off ends at midnight tonight.",Slow
"From: no-reply@airbnb.com
Subject: Get ready for savings — 10% off top picks!
Treat yourself: 10% off our newest collection.",Slow
"From: offers@doordash.com
Subject: Flash deal: 40% off for the next 24 hours!
Get the look you love with 40% off today.",Slow
"From: no-reply@sephora.com
Subject: Flash sale alert: 30% off for 24 hours only!
We’ve got something special for you. For a limited time, enjoy 30% off our most popular items.",Slow
"From: rewards@starbucks.com
Subject: Limited-time deal: get 40% off now!
Spring into savings with 40% off select products.",Slow
"From: sales@target.com
Subject: Seasonal sale: 25% off your favorites!
Special savings event: 25% off everything online.",Slow
"From: deals@bestbuy.com
Subject: Weekend special: save 15% on selected products!
This weekend only: get 15% off sitewide. Happy shopping!",Slow
"From: deals@expedia.com
Subject: Today only: 35% off your order!
Only a few hours left — claim your 35% discount now!",Slow
"From: promotions@nike.com
Subject: Get ready for savings — 50% off top picks!
We thought you’d like this: 50% off our top picks for you.",Slow
"From: rewards@uber.com
Subject: Get ready for savings — 15% off top picks!
Your cart is calling! Get 15% off before it’s too late.",Slow
"From: updates@netflix.com
Subject: Hot deal: 35% off just for you!
Treat yourself: 35% off our newest collection.",Slow
"From: newsletter@apple.com
Subject: Early access: 10% off new arrivals!
Our biggest sale of the season — save 10% now!",Slow
"From: news@wholefoods.com
Subject: Don’t miss out on 15% off our bestsellers!
Our biggest sale of the season — save 15% now!",Slow
"From: deals@bestbuy.com
Subject: Member exclusive: 40% off your next purchase!
Upgrade your collection with 40% off selected items.",Slow
"From: deals@expedia.com
Subject: Your favorite items are waiting — 20% off today!
Shop now and save 20% on your next purchase.",Slow
"From: updates@spotify.com
Subject: Your deal is here: 30% off selected items!
Exclusive online offer: take 30% off today.",Slow
"From: newsletter@apple.com
Subject: Get ready for savings — 20% off top picks!
Special promotion: enjoy 20% off your cart total.",Slow
"From: no-reply@airbnb.com
Subject: Don’t wait! 20% off ends soon!
Unlock 20% off your order today — limited time offer!",Slow
"From: hello@etsy.com
Subject: Early access: 25% off new arrivals!
Enjoy 25% off on our most popular categories.",Slow
"From: promotions@nike.com
Subject: Exclusive: 25% off just for our subscribers!
Celebrate with us — take 25% off select products. Offer ends soon.",Slow
"From: offers@delta.com
Subject: Member exclusive: 40% off your next purchase!
Exclusive deal: 40% off everything in your cart. Act fast!",Slow
"From: updates@spotify.com
Subject: Spring sale is here! 35% off select items!
Seasonal savings: 35% off popular items.",Slow
"From: promos@patagonia.com
Subject: Hot picks: 40% off today only!
Seasonal savings: 40% off popular items.",Slow
"From: info@rei.com
Subject: Member exclusive: 20% off your next purchase!
Special offer inside: 20% off your order. Don’t miss it!",Slow
"From: no-reply@airbnb.com
Subject: Limited supply — 30% off while supplies last!
Enjoy this special promotion: 30% off selected products.",Slow
"From: newsletter@costco.com
Subject: Your favorite items are waiting — 40% off today!
Our biggest sale of the season — save 40% now!",Slow
"From: sales@target.com
Subject: Don’t miss our 50% off sale this weekend!
Your personal offer: 50% off just for subscribers.",Slow
"From: promotions@nike.com
Subject: Special savings inside: 15% off everything!
Your next purchase is discounted: save 15% now.",Slow
"From: rewards@starbucks.com
Subject: Today only: 40% off your order!
Exclusive deal: 40% off everything in your cart. Act fast!",Slow
"From: rewards@uber.com
Subject: Today only: 40% off your order!
Upgrade your collection with 40% off selected items.",Slow
"From: news@lyft.com
Subject: Get ready for savings — 30% off top picks!
We’ve got something special for you. For a limited time, enjoy 30% off our most popular items.",Slow
"From: deals@bestbuy.com
Subject: Seasonal sale: 30% off your favorites!
Seasonal savings: 30% off popular items.",Slow
"From: offers@delta.com
Subject: Time to refresh your favorites — 15% off sitewide!
Your favorites are discounted! 15% off for a short time.",Slow
"From: rewards@starbucks.com
Subject: Save 50% on your next order!
Special promotion: enjoy 50% off your cart total.",Slow
"From: hello@etsy.com
Subject: Special promotion: 20% off your cart total!
This weekend only: get 20% off sitewide. Happy shopping!",Slow
"From: news@wholefoods.com
Subject: Special savings inside: 25% off everything!
This week only: 25% off sitewide.",Slow
"From: rewards@starbucks.com
Subject: Today only: 10% off your order!
Enjoy 10% off on our most popular categories.",Slow
"From: promos@patagonia.com
Subject: New arrivals just dropped — shop now!
This week only: 10% off sitewide.",Slow
"From: news@wholefoods.com
Subject: Exclusive offer just for you — 25% off today!
Flash deal: 25% off limited stock items.",Slow
"From: no-reply@sephora.com
Subject: Don’t miss our 15% off sale this weekend!
Special promotion: enjoy 15% off your cart total.",Slow
"From: promos@patagonia.com
Subject: Seasonal sale: 15% off your favorites!
Special online savings: 15% off everything you love.",Slow
"From: sales@target.com
Subject: Early access: 20% off new arrivals!
Check out our bestsellers — now 20% off!",Slow
"From: offers@doordash.com
Subject: Member exclusive: 20% off your next purchase!
Your exclusive deal: 20% off before it expires.",Slow
"From: updates@netflix.com
Subject: Spring sale is here! 40% off select items!
Special online savings: 40% off everything you love.",Slow
"From: updates@spotify.com
Subject: Weekend special: save 30% on selected products!
Hot deals inside — 30% off for a limited time.",Slow
"From: deals@expedia.com
Subject: Hot picks: 50% off today only!
Your exclusive deal: 50% off before it expires.",Slow
"From: info@rei.com
Subject: Flash deal: 15% off for the next 24 hours!
Our biggest sale of the season — save 15% now!",Slow
"From: newsletter@apple.com
Subject: Save 35% on your next order!
Enjoy this special promotion: 35% off selected products.",Slow
"From: offers@doordash.com
Subject: Hot deal: 25% off just for you!
Our biggest sale of the season — save 25% now!",Slow
"From: offers@amazon.com
Subject: Your deal is here: 15% off selected items!
Your next purchase is discounted: save 15% now.",Slow
"From: promotions@nike.com
Subject: Don’t miss our 25% off sale this weekend!
Celebrate with us — take 25% off select products. Offer ends soon.",Slow
